# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_id" "-a" "reference/AmoebaDB-61_NgruberiNEG-M.gtf" "data/mapping/Ng_01_mapping.bam" "data/mapping/Ng_02_mapping.bam" "data/mapping/Ng_03_mapping.bam" "data/mapping/Ng_04_mapping.bam" "data/mapping/Ng_05_mapping.bam" "data/mapping/Ng_06_mapping.bam" "data/mapping/Ng_07_mapping.bam" "data/mapping/Ng_08_mapping.bam" "data/mapping/Ng_09_mapping.bam" "data/mapping/Ng_10_mapping.bam" "data/mapping/Ng_11_mapping.bam" "data/mapping/Ng_12_mapping.bam" "data/mapping/Ng_13_mapping.bam" "data/mapping/Ng_14_mapping.bam" "data/mapping/Ng_15_mapping.bam" "data/mapping/Ng_16_mapping.bam" "data/mapping/Ng_17_mapping.bam" "data/mapping/Ng_19_mapping.bam" "data/mapping/Ng_21_mapping.bam" "-o" "data/feature_counts/counts.txt" 
Geneid	Chr	Start	End	Strand	Length	data/mapping/Ng_01_mapping.bam	data/mapping/Ng_02_mapping.bam	data/mapping/Ng_03_mapping.bam	data/mapping/Ng_04_mapping.bam	data/mapping/Ng_05_mapping.bam	data/mapping/Ng_06_mapping.bam	data/mapping/Ng_07_mapping.bam	data/mapping/Ng_08_mapping.bam	data/mapping/Ng_09_mapping.bam	data/mapping/Ng_10_mapping.bam	data/mapping/Ng_11_mapping.bam	data/mapping/Ng_12_mapping.bam	data/mapping/Ng_13_mapping.bam	data/mapping/Ng_14_mapping.bam	data/mapping/Ng_15_mapping.bam	data/mapping/Ng_16_mapping.bam	data/mapping/Ng_17_mapping.bam	data/mapping/Ng_19_mapping.bam	data/mapping/Ng_21_mapping.bam
GENE_t356	GG738871.1	30215	30285	-	71	0	1	0	0	0	3	3	2	0	0	0	1	1	1	1	2	0	8	0
GENE_58176	GG738871.1	31002	31583	+	582	4044	5595	3183	5275	9300	9296	9301	7929	6669	6564	7627	6982	7271	21424	12928	12988	14236	3754	697
GENE_68129	GG738871.1	32061	32576	+	516	0	12	0	6	6	8	7	11	191	169	203	152	179	90	62	111	121	62	103
GENE_t355	GG738871.1	32622	32694	-	73	0	0	0	0	0	0	0	0	2	1	2	2	1	2	0	1	1	0	0
GENE_68130	GG738871.1	33282	34904	+	1623	0	37	0	9	5	2	0	3	1204	1026	1135	1218	1390	1	1	8	12	0	0
GENE_68131	GG738871.1	35013	36323	+	1311	281	460	56	594	430	421	380	388	582	604	720	660	707	394	414	515	501	295	376
GENE_44581	GG738871.1	36436	37605	+	1170	6	7	0	9	17	15	14	17	479	655	705	634	632	40	43	48	66	50	40
GENE_68133	GG738871.1	38193	38540	-	348	0	2	0	0	4	3	2	7	4	2	7	13	6	5	2	6	7	44	37
GENE_68134	GG738871.1	39685	41121	+	1437	39	135	0	143	216	183	250	246	531	786	1171	733	691	10	8	10	13	55	66
GENE_68135	GG738871.1	41293	42567	+	1275	0	5	0	1	21	12	27	23	25	30	36	18	27	11	10	19	27	21	32
GENE_68136	GG738871.1	43236	44876	-	1641	7	11	8	4	8	10	9	16	741	617	656	645	850	69	42	62	68	94	102
GENE_79929	GG738871.1;GG738871.1	45033;45814	45768;48611	-;-	3534	37	113	19	116	229	223	217	262	618	673	643	623	685	426	671	740	844	273	360
GENE_68138	GG738871.1	49055	49834	+	780	28	104	109	99	92	84	53	56	190	230	294	219	247	326	274	461	406	71	72
GENE_68139	GG738871.1;GG738871.1;GG738871.1	51180;51404;51594	51332;51538;52241	+;+;+	936	0	0	41	3	0	1	3	1	141	118	195	139	137	22	10	9	19	8	4
GENE_79931	GG738871.1	52333	53473	-	1141	27	18	30	9	39	45	43	40	480	405	449	454	501	177	76	96	124	320	385
GENE_68141	GG738871.1	53696	55372	-	1677	69	70	5	73	140	148	165	155	924	730	867	961	970	96	139	228	244	147	186
GENE_79932	GG738871.1	56484	59271	+	2788	3513	4943	1461	5634	13942	13498	11951	10228	8007	7312	8355	8404	8657	4649	4458	5436	5937	6700	9346
GENE_68143	GG738871.1	59563	60462	+	900	0	0	0	0	1	0	0	0	4	0	2	2	3	3	0	1	1	0	3
GENE_49450	GG738871.1	60874	61524	+	651	0	22	25	26	39	39	52	43	69	86	99	83	82	34	36	100	69	141	131
GENE_34059	GG738871.1;GG738871.1;GG738871.1;GG738871.1	62172;62720;63329;63897	62662;63254;63779;64165	+;+;+;+	1746	1700	3719	576	4480	4997	4958	3992	3069	870	883	1013	910	913	1448	1892	1544	1653	2631	2157
GENE_79933	GG738871.1	64315	66974	-	2660	365	537	340	945	1610	1914	1921	2093	2642	2398	2465	2751	2828	2059	1574	732	786	1071	1606
GENE_34009	GG738871.1;GG738871.1;GG738871.1;GG738871.1	68539;68947;69410;70078	68876;69341;70032;70725	+;+;+;+	2004	11	34	0	34	31	22	19	37	217	176	230	203	215	14	11	4	2	27	11
GENE_68148	GG738871.1	70871	73639	+	2769	112	205	114	244	440	351	291	379	534	572	603	632	651	230	298	393	471	641	1117
GENE_68149	GG738871.1;GG738871.1	73818;74233	74156;74421	+;+	528	255	409	114	397	427	374	329	281	516	496	546	541	516	485	399	456	556	250	171
GENE_58182	GG738871.1;GG738871.1;GG738871.1	74577;79280;80591	78958;80509;81401	+;+;+	6423	967	1476	370	1651	5631	5332	6111	5171	3781	3549	3694	3927	4094	2832	2911	3311	3643	3595	5452
GENE_58183	GG738871.1;GG738871.1	81701;82347	81756;83817	-;-	1527	0	4	0	5	18	35	44	35	40	27	36	40	32	42	50	50	48	13	5
GENE_t354	GG738871.1	84879	84949	-	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_68153	GG738871.1	85053	86249	+	1197	0	21	0	20	30	37	54	44	14	14	29	22	13	146	139	131	130	50	16
GENE_49457	GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1	86549;86927;88032;88292;89853	86589;87522;88221;88959;91378	-;-;-;-;-	3021	8	21	0	10	4	14	19	13	3443	3110	3425	3580	3809	79	119	89	99	18	8
GENE_79935	GG738871.1	91548	92788	+	1241	53	88	26	104	135	151	117	152	261	315	339	359	333	442	409	435	482	371	396
GENE_58185	GG738871.1;GG738871.1	92847;93000	92901;93409	-;-	465	27796	27899	35544	28507	45217	44499	44828	38058	25050	26378	29856	27107	28194	69938	36488	38186	41371	22366	4597
GENE_79937	GG738871.1	93658	94184	+	527	232	346	235	367	351	453	498	480	365	304	375	364	345	1339	725	927	856	1015	362
GENE_49460	GG738871.1	95334	96827	-	1494	0	19	31	20	44	56	46	54	45	43	52	41	33	121	120	125	167	73	35
GENE_58186	GG738871.1	97289	99629	-	2341	133	190	27	161	300	285	240	215	1493	1524	1658	1513	1649	649	837	832	944	135	129
GENE_68162	GG738871.1	100000	100431	-	432	203	222	42	178	138	97	92	76	210	214	227	201	238	165	139	96	100	604	863
GENE_68163	GG738871.1	101137	101931	-	795	0	2	0	2	5	5	9	2	197	199	228	206	203	0	2	2	2	3	9
GENE_49463	GG738871.1	102291	103376	+	1086	16	51	0	35	26	25	14	21	91	91	125	89	111	49	53	34	21	87	82
GENE_68165	GG738871.1;GG738871.1	103703;104073	103957;104630	+;+	813	124	223	47	281	462	616	606	549	913	1053	1144	1105	991	895	664	870	1074	495	386
GENE_49465	GG738871.1	105919	107418	-	1500	86	138	0	149	161	166	178	159	305	277	275	277	283	90	209	230	240	152	213
GENE_49466	GG738871.1	107772	108659	-	888	373	557	198	487	757	703	863	768	839	803	917	884	918	1419	1192	1366	1446	2114	2024
GENE_68168	GG738871.1	109009	109593	+	585	56	27	0	10	12	12	7	6	316	258	265	257	309	4	6	13	13	53	68
GENE_68169	GG738871.1;GG738871.1;GG738871.1	109913;110194;110270	110130;110215;110386	+;+;+	357	253	428	33	520	518	568	488	383	80	80	93	88	91	205	82	144	118	565	322
GENE_68170	GG738871.1	110491	111243	-	753	585	950	24	1558	1406	1599	1490	1223	257	257	326	290	288	182	326	541	504	363	269
GENE_83175	GG738871.1;GG738871.1	111855;112616	112502;112629	-;-	662	13112	13315	18899	12545	22363	24029	20222	17651	12135	12379	12948	12760	13633	40602	21302	19512	21990	6337	365
GENE_t349	GG738871.1	113449	113521	+	73	0	0	0	0	0	0	0	0	1	3	2	0	2	1	0	0	1	0	0
GENE_68172	GG738871.1;GG738871.1;GG738871.1	113635;114866;116424	114432;116298;116481	+;+;+	2289	25	21	0	18	52	29	40	49	201	231	305	230	260	111	111	140	130	115	125
GENE_68173	GG738871.1	116895	117992	-	1098	53	88	0	99	107	107	104	101	13	15	33	27	35	40	19	31	26	71	69
GENE_68174	GG738871.1	118750	119760	+	1011	30	36	23	26	72	48	33	45	285	266	287	261	227	92	135	201	211	162	173
GENE_68175	GG738871.1	120850	121644	-	795	0	0	0	1	0	0	1	1	2292	1032	1400	2244	1837	26	8	17	16	437	1060
GENE_68176	GG738871.1	122044	123360	-	1317	0	11	24	16	37	40	40	30	33	36	28	37	38	42	37	104	118	135	157
GENE_68177	GG738871.1	123623	124228	+	606	0	7	0	3	16	16	17	23	28	28	23	23	31	3	27	37	61	14	12
GENE_79940	GG738871.1;GG738871.1;GG738871.1;GG738871.1	124638;125245;125499;125840	125189;125368;125798;127152	+;+;+;+	2289	72	143	47	139	236	206	238	231	772	600	710	709	811	214	335	442	464	729	925
GENE_68179	GG738871.1	127400	128122	-	723	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	4	7
GENE_68180	GG738871.1;GG738871.1	128583;129222	128998;129417	-;-	612	715	1459	254	1922	2348	2650	2866	2494	827	884	1049	946	875	2103	1426	1866	1947	3314	2729
GENE_49477	GG738871.1	130238	131491	+	1254	17	25	0	35	42	24	31	27	6	8	11	16	10	9	8	7	8	158	77
GENE_79941	GG738871.1;GG738871.1;GG738871.1	131633;133251;133883	133209;133838;135137	-;-;-	3420	18	22	35	13	79	98	99	87	221	280	268	272	273	234	305	295	385	136	76
GENE_68183	GG738871.1	135547	137298	+	1752	119	151	59	90	137	93	100	63	35	55	48	42	48	82	87	170	164	61	19
GENE_58191	GG738871.1	137327	139632	-	2306	879	1414	230	1639	1184	1028	901	881	1691	1517	1650	1829	1766	1134	1700	1484	1544	1285	1241
GENE_79943	GG738871.1	139903	141665	+	1763	129	193	0	178	304	329	339	333	403	387	389	389	396	422	383	479	532	918	917
GENE_79944	GG738871.1	141848	143003	+	1156	0	51	24	40	47	47	71	78	3511	2827	3073	3592	3756	1460	1227	631	681	990	1988
GENE_44583	GG738871.1	143174	143779	-	606	140	312	5	239	323	276	290	353	1309	1559	2036	1505	1404	241	124	39	72	372	280
GENE_68188	GG738871.1	144924	147134	-	2211	20	57	0	51	77	36	74	68	280	235	226	245	297	124	158	114	126	99	85
GENE_79945	GG738871.1;GG738871.1	147773;148376	148189;150595	+;+	2637	437	802	308	888	678	527	411	591	3273	3113	3319	3502	3585	3480	5153	3310	4014	1183	1021
GENE_68190	GG738871.1	150689	151540	+	852	0	19	0	18	23	17	12	22	94	147	123	127	142	185	868	342	398	14	11
GENE_68191	GG738871.1	151869	152738	+	870	0	17	0	15	15	10	9	13	82	100	114	101	106	642	652	326	307	113	71
GENE_68192	GG738871.1	153265	154026	+	762	0	7	31	2	1	1	0	0	467	372	373	400	527	0	0	3	4	0	1
GENE_34062	GG738871.1	155145	156626	-	1482	88	157	22	189	152	114	142	125	462	395	380	430	491	342	370	475	483	976	1420
GENE_60667	GG738871.1;GG738871.1	157382;157753	157709;157889	-;-	465	1200	1919	259	2203	2144	2299	2200	2008	1343	1239	1446	1335	1402	2744	1888	1577	1596	4971	3574
GENE_79946	GG738871.1;GG738871.1;GG738871.1;GG738871.1	158410;158881;159169;160424	158830;159128;160374;164158	+;+;+;+	5610	1120	1859	358	2188	4733	5478	5964	5360	2703	2551	2963	2859	2939	8756	7861	7020	7893	5314	5721
GENE_68196	GG738871.1;GG738871.1	164291;165366	165045;165438	+;+	828	22	11	28	11	34	16	26	15	23	39	40	42	33	1	17	36	27	2	3
GENE_68197	GG738871.1;GG738871.1	165853;167200	167130;167430	-;-	1509	26	44	0	30	27	20	35	22	97	89	104	101	95	54	35	57	61	155	200
GENE_60668	GG738871.1;GG738871.1	167576;167798	167607;168215	-;-	450	384	570	99	836	1103	1063	998	919	1256	1306	1504	1440	1359	2520	1312	2197	2285	2029	1829
GENE_68199	GG738871.1;GG738871.1	168433;168616	168565;169058	+;+	576	0	1	0	2	7	12	11	9	79	93	90	83	65	125	56	89	66	43	37
GENE_3536	GG738871.1;GG738871.1	169470;169838	169684;170300	+;+	678	107	97	37	77	164	149	164	156	394	394	489	451	431	278	295	304	402	291	326
GENE_68201	GG738871.1;GG738871.1	170585;171401	171311;171921	-;-	1248	0	21	26	25	42	14	29	31	221	245	263	246	240	129	147	177	166	183	190
GENE_68202	GG738871.1;GG738871.1	172418;173464	173358;173815	-;-	1293	9	30	0	55	79	55	61	92	279	219	297	259	289	76	239	230	255	82	125
GENE_79947	GG738871.1;GG738871.1	174241;174571	174522;176997	+;+	2709	217	403	66	447	527	529	630	645	1570	1726	1737	1748	1781	1835	2330	1706	1862	1363	1288
GENE_79948	GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1	177044;178540;179000;179771;181320;181788;182227;182346;182827	178372;178752;179542;181177;181745;182183;182302;182683;183059	-;-;-;-;-;-;-;-;-	4961	478	699	120	752	1393	1422	1491	1482	4590	4451	4997	4711	4827	1868	2542	2512	2611	2382	3628
GENE_68205	GG738871.1	183358	185070	-	1713	0	45	24	32	37	53	70	50	424	430	466	424	514	144	153	200	186	329	490
GENE_2593	GG738871.1;GG738871.1;GG738871.1;GG738871.1	185268;185749;185921;186044	185708;185882;185997;186210	-;-;-;-	819	27	83	54	72	96	139	119	124	1038	954	921	1033	973	191	195	185	207	640	578
GENE_68207	GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1	187639;188364;188560;191059;191483	188319;188516;190922;191340;192542	+;+;+;+;+	4539	0	7	0	10	22	17	26	28	89	71	98	91	116	30	20	39	48	75	150
GENE_49494	GG738871.1;GG738871.1	192851;193251	192914;194560	+;+	1374	112	268	88	293	646	643	693	680	906	767	1137	929	939	421	426	568	629	666	870
GENE_79950	GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1	194763;196066;196144;196299;196376;196577	196010;196088;196243;196332;196499;196730	-;-;-;-;-;-	1683	1003	1612	589	1294	765	581	503	446	1511	1328	1990	1451	1551	396	312	752	984	645	816
GENE_79951	GG738871.1;GG738871.1	197451;199320	199153;199612	-;-	1996	243	396	30	451	1100	1135	1160	1033	6384	6306	7551	7047	6982	2067	2721	3318	3586	1421	1835
GENE_68211	GG738871.1;GG738871.1;GG738871.1	200023;200272;200995	200083;200931;201446	+;+;+	1173	127	88	16	92	165	135	125	132	453	429	452	471	459	302	249	293	379	231	193
GENE_49498	GG738871.1	201575	202765	-	1191	23	14	0	11	15	2	23	14	40	53	44	47	37	29	32	18	43	63	35
GENE_68213	GG738871.1;GG738871.1	203147;203725	203662;204483	-;-	1275	0	62	0	56	70	64	75	68	121	115	122	126	166	63	80	80	114	55	51
GENE_68214	GG738871.1;GG738871.1;GG738871.1	204914;205537;205724	205495;205680;209716	+;+;+	4719	64	42	26	48	64	48	68	64	147	132	147	150	176	45	80	159	173	227	221
GENE_68215	GG738871.1;GG738871.1;GG738871.1	209864;211085;211311	211037;211269;212411	+;+;+	2460	31	28	57	7	2	1	1	1	3131	2748	2781	3048	3273	0	1	9	15	1	4
GENE_68216	GG738871.1	214405	215232	-	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_79952	GG738871.1;GG738871.1;GG738871.1	215618;216843;216987	216776;216898;217103	-;-;-	1332	371	408	32	411	499	492	436	374	951	881	958	1001	955	591	544	543	572	1231	1576
GENE_34075	GG738871.1;GG738871.1	218169;218641	218598;219254	-;-	1044	51	55	9	69	47	46	47	49	684	627	731	638	712	287	208	239	268	254	204
GENE_68219	GG738871.1	220916	221569	+	654	0	0	0	0	4	1	6	5	26	21	23	20	19	2	3	10	13	14	42
GENE_79953	GG738871.1	222680	224606	-	1927	24	89	31	63	81	97	89	63	1200	1191	1303	1297	1385	207	246	281	309	103	106
GENE_34027	GG738871.1	225002	226147	-	1146	58	141	26	233	183	139	88	87	112	114	137	113	115	91	114	86	65	30	9
GENE_58202	GG738871.1	227092	228605	+	1514	151	344	34	492	573	780	787	657	456	417	459	487	489	1604	1651	1464	1795	485	433
GENE_68223	GG738871.1	228656	229072	-	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GENE_68224	GG738871.1	229308	230555	-	1248	14	2	0	6	24	20	37	30	73	59	75	79	83	78	52	108	112	88	111
GENE_68225	GG738871.1	231107	231490	+	384	0	12	0	13	18	9	23	5	27	22	15	18	19	1	20	14	16	6	3
GENE_68226	GG738871.1	232817	234094	-	1278	14	54	57	39	139	122	112	96	177	166	197	177	144	509	586	679	764	60	62
GENE_49505	GG738871.1	234770	238087	-	3318	15	5	0	3	5	1	1	1	95	110	125	107	99	104	84	66	62	29	11
GENE_t350	GG738871.1	239567	239647	+	81	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
GENE_58203	GG738871.1	239907	242471	-	2565	61	154	0	266	41	28	45	54	977	979	1023	1057	1110	139	219	186	145	464	741
GENE_68229	GG738871.1	243059	243553	+	495	0	0	0	0	7	13	6	11	136	102	143	115	122	107	42	53	48	19	23
GENE_t353	GG738871.1	243608	243679	-	72	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
GENE_77418	GG738871.1	244124	244736	-	613	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	3
GENE_79956	GG738871.1;GG738871.1	245559;245800	245744;247081	+;+	1468	406	585	753	625	1659	1956	1925	2155	1816	1580	1870	1715	1880	6586	5058	6115	6993	2447	1922
GENE_79957	GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1	247140;248009;248500;249154;250135;250258	247942;248432;248760;250086;250211;252642	+;+;+;+;+;+	4883	238	418	84	666	336	331	349	338	650	619	665	694	732	578	756	869	976	892	1073
GENE_49511	GG738871.1	253765	254883	-	1119	160	69	0	48	43	41	62	34	83	78	87	72	103	49	46	59	50	97	166
GENE_68234	GG738871.1;GG738871.1;GG738871.1;GG738871.1	256108;256652;256809;258454	256602;256768;258408;261017	+;+;+;+	4776	27	86	2	138	213	345	360	315	32	32	37	27	34	155	164	235	264	1150	1279
GENE_68235	GG738871.1	261643	263037	+	1395	0	0	0	0	0	0	0	0	2	6	4	4	4	0	0	0	0	4	0
GENE_58206	GG738871.1	263175	264956	-	1782	445	537	221	604	814	678	603	649	932	854	961	1017	976	1280	1516	1620	1775	854	1163
GENE_39361	GG738871.1	265109	265582	-	474	15236	15729	18608	15552	20399	22148	21395	18630	16741	15938	19811	17394	18681	49285	23539	20820	21744	9060	932
GENE_68238	GG738871.1	265751	266854	-	1104	27	41	0	54	33	31	31	28	304	294	337	374	349	170	168	217	212	73	73
GENE_49516	GG738871.1;GG738871.1	267365;271326	270445;271940	-;-	3696	10	19	0	11	19	20	19	24	57	57	99	56	78	23	21	77	80	161	327
GENE_49517	GG738871.1	273608	274336	-	729	52	38	41	52	158	181	199	195	156	168	162	187	168	524	371	367	427	213	118
GENE_68242	GG738871.1;GG738871.1	275503;276320	276271;277008	+;+	1458	0	0	0	0	0	0	2	0	2	1	0	1	0	1	0	0	2	0	2
GENE_68243	GG738871.1	277196	277726	+	531	0	3	0	0	2	5	3	5	39	33	38	34	44	0	1	0	0	7	4
GENE_49519	GG738871.1;GG738871.1	277867;278435	278355;278725	-;-	780	138	148	36	164	178	179	169	170	288	301	319	304	339	487	306	342	393	937	1172
GENE_68245	GG738871.1;GG738871.1	278899;279089	279032;279491	-;-	537	0	0	0	1	0	0	0	0	1	1	0	2	2	7	3	1	1	0	3
GENE_58208	GG738871.1;GG738871.1	279575;280794	280727;280950	-;-	1310	10	11	41	8	2	9	4	5	16	8	12	12	16	117	142	70	55	61	10
GENE_58209	GG738871.1;GG738871.1;GG738871.1	283886;284323;284656	284272;284604;284826	+;+;+	840	36	37	14	46	92	91	94	69	181	171	168	222	208	22	152	172	165	7	26
GENE_33993	GG738871.1	288821	289213	+	393	437	669	226	733	770	747	769	716	711	730	799	761	698	1471	826	954	985	2882	3605
GENE_49522	GG738871.1	289219	289983	-	765	83	76	16	68	89	70	50	57	162	146	197	150	157	563	326	385	485	228	151
GENE_33969	GG738871.1;GG738871.1;GG738871.1	290390;290733;291344	290546;291289;291703	+;+;+	1074	1177	2076	258	2227	2630	2364	2176	1907	3539	3555	4084	4003	3966	4755	4016	3748	3999	2700	4365
GENE_68250	GG738871.1;GG738871.1;GG738871.1;GG738871.1;GG738871.1	291784;291898;292044;292339;292509	291852;291974;292293;292461;292709	+;+;+;+;+	720	339	417	113	469	905	914	875	747	1076	1129	1328	1205	1258	935	694	921	1014	600	636
GENE_33978	GG738871.1;GG738871.1	293439;294552	294503;294947	-;-	1461	0	22	39	15	26	30	20	33	5	10	5	5	9	143	149	167	180	51	20
GENE_68252	GG738871.1	295265	296371	-	1107	163	88	0	100	170	184	180	187	259	254	282	247	310	216	188	234	249	419	442
GENE_34083	GG738871.1;GG738871.1	296472;297906	297557;298451	-;-	1632	115	83	24	77	244	263	257	192	468	417	484	447	525	540	826	1060	1040	261	317
GENE_68254	GG738871.1	298899	299264	+	366	18	8	0	13	26	30	43	20	36	39	32	36	32	157	101	82	88	38	46
GENE_68255	GG738871.1	299669	299995	+	327	0	4	0	0	6	1	3	4	56	60	61	59	55	7	12	12	12	13	5
GENE_t352	GG738871.1	300545	300625	-	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_t351	GG738871.1	300709	300781	-	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE_33960	GG738871.1;GG738871.1;GG738871.1;GG738871.1	302082;302322;302538;302826	302277;302489;302782;304352	+;+;+;+	2136	43	68	25	59	82	103	89	84	304	261	336	309	318	24	118	149	164	47	66
GENE_68257	GG738871.1	308103	309131	+	1029	827	1416	50	1599	3197	3312	2625	2093	864	861	920	988	1017	912	844	562	658	2036	2221
GENE_68258	GG738871.1	309242	311644	+	2403	382	530	27	403	645	537	456	322	121	104	124	127	132	94	122	192	235	682	1496
GENE_1636	GG738871.1	312459	313676	+	1218	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	4	9
GENE_79962	GG738871.1	314051	316343	+	2293	749	1172	259	1582	1014	956	814	790	6458	5417	6027	6477	6738	2378	2771	1475	1386	1846	3999
GENE_68261	GG738871.1	316361	317758	-	1398	394	684	201	957	686	677	671	746	1891	1592	1862	1787	1889	1145	1014	917	951	3190	2074
GENE_33959	GG738871.1	318100	319125	+	1026	0	7	0	3	15	16	10	6	76	55	45	63	81	131	112	122	143	5	1
